shipment_id,customer_id,route_id,vehicle_id,driver_id,planned_departure,actual_departure,planned_arrival,actual_arrival,origin,destination,distance_km,fuel_cost,shipment_revenue,shipment_status,cargo_type
S001,C001,R001,V001,D001,2026-03-30 08:00,2026-03-30 08:10,2026-03-30 12:00,2026-03-30 12:20,Luxembourg,Brussels,220,95,420,Delivered,Pharma
S002,C002,R002,V002,D002,2026-03-30 09:00,2026-03-30 09:00,2026-03-30 13:30,2026-03-30 13:10,Luxembourg,Paris,370,140,600,Delivered,Chemicals
S003,C001,R003,V003,D003,2026-03-30 07:30,2026-03-30 07:50,2026-03-30 11:30,2026-03-30 12:40,Luxembourg,Liege,180,80,390,Delivered,Pharma
S004,C003,R001,V001,D001,2026-03-30 14:00,2026-03-30 14:05,2026-03-30 18:00,2026-03-30 18:50,Luxembourg,Brussels,220,100,430,Delivered,Industrial
S005,C004,R004,V004,D004,2026-03-30 06:00,2026-03-30 06:00,2026-03-30 10:00,2026-03-30 09:45,Luxembourg,Metz,80,35,210,Delivered,Food
S006,C002,R002,V002,D002,2026-03-30 15:00,2026-03-30 15:20,2026-03-30 19:30,2026-03-30 20:30,Luxembourg,Paris,370,145,610,Delivered,Chemicals
S007,C005,R005,V005,D005,2026-03-30 10:00,2026-03-30 10:00,2026-03-30 14:00,,Luxembourg,Reims,250,110,500,In Transit,Retail
S008,C006,R006,V006,D006,2026-03-30 11:00,2026-03-30 11:40,2026-03-30 15:00,2026-03-30 16:30,Luxembourg,Nancy,120,55,260,Delivered,Food
S009,C007,R007,V007,D007,2026-03-30 05:30,2026-03-30 05:20,2026-03-30 09:00,2026-03-30 08:55,Luxembourg,Trier,50,20,150,Delivered,Documents
S010,C008,R008,V008,D008,2026-03-30 13:00,2026-03-30 13:10,2026-03-30 17:00,2026-03-30 18:45,Luxembourg,Cologne,300,130,520,Delivered,Industrial
S011,C009,R009,V009,D009,2026-03-30 08:15,2026-03-30 08:15,2026-03-30 12:45,2026-03-30 12:30,Luxembourg,Saarbrucken,110,45,240,Delivered,Pharma
S012,C010,R010,V010,D010,2026-03-30 07:00,2026-03-30 07:00,2026-03-30 11:00,2026-03-30 10:50,Luxembourg,Strasbourg,210,85,400,Delivered,Food
S013,C011,R011,V011,D011,2026-03-30 09:30,2026-03-30 09:50,2026-03-30 13:30,2026-03-30 14:50,Luxembourg,Charleroi,190,82,360,Delivered,Retail
S014,C012,R012,V012,D012,2026-03-30 06:45,2026-03-30 06:45,2026-03-30 10:15,2026-03-30 10:10,Luxembourg,Arlon,35,15,120,Delivered,Documents
S015,C013,R013,V013,D013,2026-03-30 12:00,2026-03-30 12:30,2026-03-30 16:00,2026-03-30 17:20,Luxembourg,Maastricht,180,78,350,Delivered,Chemicals
S016,C014,R014,V014,D014,2026-03-30 08:00,2026-03-30 08:05,2026-03-30 12:00,2026-03-30 11:55,Luxembourg,Antwerp,260,115,480,Delivered,Industrial
S017,C015,R015,V015,D015,2026-03-30 14:30,2026-03-30 14:50,2026-03-30 18:30,2026-03-30 19:40,Luxembourg,Namur,170,70,330,Delivered,Pharma
S018,C016,R016,V016,D016,2026-03-30 07:20,2026-03-30 07:20,2026-03-30 11:20,2026-03-30 11:25,Luxembourg,Leuven,200,88,410,Delivered,Food
S019,C017,R017,V017,D017,2026-03-30 10:10,2026-03-30 10:05,2026-03-30 14:10,2026-03-30 13:55,Luxembourg,Liege,180,79,395,Delivered,Industrial
S020,C018,R018,V018,D018,2026-03-30 06:10,2026-03-30 06:30,2026-03-30 10:10,2026-03-30 11:50,Luxembourg,Paris,370,150,620,Delivered,Pharma
